name,season,competition,nation,position,team,age,year_born,matches,starts,minutes,full_games,goals,assists,G+A,non-PK_goals,PK_goals,PK_att,yellow_cards,red_cards,xG,xG_nonpenalty,xGnp+xGA,xGA,progressive_carries,progressive_passes
Fraser Forster,24/25,Premier League,ENG,GK,Tottenham,36,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Matheus França,24/25,Premier League,BRA,"MF,FW",Crystal Palace,20,2004,4,0,55,0.6,1,0,1,1,0,0,0,0,0.3,0.3,0.3,0.0,4,3
Ryan Fraser,24/25,Premier League,SCO,"FW,DF",Southampton,30,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8
Tyler Fredricson,24/25,Premier League,ENG,DF,Manchester Utd,19,2005,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8
Niclas Füllkrug,24/25,Premier League,GER,FW,West Ham,31,1993,18,6,790,8.8,3,2,5,3,0,0,2,0,2.2,2.2,4.1,1.9,7,14
Cody Gakpo,24/25,Premier League,NED,FW,Liverpool,25,1999,35,23,"1,935",21.5,10,4,14,10,0,0,5,0,7.1,7.1,11.5,4.4,59,52
Idrissa Gana Gueye,24/25,Premier League,SEN,MF,Everton,34,1989,37,35,"3,063",34.0,0,3,3,0,0,0,9,0,1.1,1.1,2.8,1.7,27,145
Andrés García,24/25,Premier League,ESP,"DF,MF",Aston Villa,21,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15
Alejandro Garnacho,24/25,Premier League,ARG,"MF,FW",Manchester Utd,20,2004,36,23,"2,199",24.4,6,2,8,6,0,0,3,0,7.3,7.3,11.8,4.5,141,56
James Garner,24/25,Premier League,ENG,"MF,DF",Everton,23,2001,21,17,"1,594",17.7,0,1,1,0,0,0,5,0,0.7,0.7,2.1,1.4,15,50
Tyrique George,24/25,Premier League,ENG,FW,Chelsea,18,2006,8,1,183,2.0,1,1,2,1,0,0,1,0,0.2,0.2,0.9,0.7,9,3
Morgan Gibbs-White,24/25,Premier League,ENG,MF,Nott'ham Forest,24,2000,34,34,"2,803",31.1,7,8,15,7,0,0,11,1,6.3,6.3,11.2,5.0,69,164
Billy Gilmour,24/25,Premier League,SCO,MF,Brighton,23,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,2,11
Ben Godfrey,24/25,Premier League,ENG,DF,Ipswich Town,26,1998,3,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4
Martial Godo,24/25,Premier League,ENG,"FW,DF",Fulham,21,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3
Michael Golding,24/25,Premier League,ENG,MF,Leicester City,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
João Gomes,24/25,Premier League,BRA,MF,Wolves,23,2001,36,35,"2,974",33.0,3,1,4,3,0,0,11,1,2.9,2.9,4.1,1.2,59,165
Rodrigo Gomes,24/25,Premier League,POR,"DF,FW",Wolves,21,2003,25,7,810,9.0,2,0,2,2,0,0,0,0,0.7,0.7,1.6,0.9,23,27
Toti Gomes,24/25,Premier League,POR,DF,Wolves,25,1999,31,30,"2,614",29.0,0,1,1,0,0,0,7,0,0.7,0.7,1.7,0.9,27,86
Diego Gómez,24/25,Premier League,PAR,MF,Brighton,21,2003,16,4,516,5.7,1,0,1,1,0,0,0,0,0.9,0.9,1.6,0.7,8,27
Joe Gomez,24/25,Premier League,ENG,DF,Liverpool,27,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.1,5,35
Nicolás González,24/25,Premier League,ESP,MF,Manchester City,22,2002,11,9,760,8.4,1,0,1,1,0,0,3,0,0.5,0.5,0.5,0.1,9,50
Anthony Gordon,24/25,Premier League,ENG,"FW,MF",Newcastle Utd,23,2001,34,28,"2,434",27.0,6,5,11,5,1,2,2,0,8.0,6.5,11.4,5.0,121,98
Ryan Gravenberch,24/25,Premier League,NED,MF,Liverpool,22,2002,37,37,"3,160",35.1,0,4,4,0,0,0,6,1,1.1,1.1,4.2,3.1,70,181
Archie Gray,24/25,Premier League,ENG,"DF,MF",Tottenham,18,2006,28,19,"1,751",19.5,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.1,7,40
Jack Grealish,24/25,Premier League,ENG,"FW,MF",Manchester City,28,1995,20,7,721,8.0,1,1,2,1,0,0,3,0,1.1,1.1,3.0,1.8,69,52
Jacob Greaves,24/25,Premier League,ENG,DF,Ipswich Town,23,2000,25,25,"2,205",24.5,1,0,1,1,0,0,5,0,1.3,1.3,1.6,0.3,11,69
Brajan Gruda,24/25,Premier League,GER,"MF,FW",Brighton,20,2004,21,8,687,7.6,1,4,5,1,0,0,0,0,1.2,1.2,3.3,2.1,22,26
